,FII DERIVATIVES STATISTICS FOR 21-Mar-2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
1,,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
2,INDEX FUTURES,37481,3297.39,43656,3848.76,223078,19424.61
3,INDEX OPTIONS,3552390,317933.52,3496486,312706.64,1850143,159840.10
4,STOCK FUTURES,167149,11732.71,187720,12966.50,2044629,139473.89
5,STOCK OPTIONS,313945,22439.73,316353,22536.93,299192,21356.93
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,Notes:,,,,,,
11,,,,,,,
12,Both buy and sell positions have been considered,,,,,,
13,Options Value (Buy/Sell) = Strike price * Qty,,,,,,
14,Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
15,,,,,,,
16,Value & Open Interest at the end of day:,,,,,,
17,Options Value (End of day) = Underlying Close Price * Qty,,,,,,
18,Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
