,FII DERIVATIVES STATISTICS FOR 20-Apr-2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
1,,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
2,INDEX FUTURES,41738,3672.79,40502,3550.39,128673,11293.94
3,INDEX OPTIONS,10255597,922745.93,10253752,922126.17,1593608,138758.46
4,STOCK FUTURES,233149,16268.37,211499,14602.29,2004067,138688.09
5,STOCK OPTIONS,179393,13585.04,173859,13199.74,167891,12371.45
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,Notes:,,,,,,
11,,,,,,,
12,Both buy and sell positions have been considered,,,,,,
13,Options Value (Buy/Sell) = Strike price * Qty,,,,,,
14,Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
15,,,,,,,
16,Value & Open Interest at the end of day:,,,,,,
17,Options Value (End of day) = Underlying Close Price * Qty,,,,,,
18,Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
