,FII DERIVATIVES STATISTICS FOR 17-Feb-2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
1,,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
2,INDEX FUTURES,70197,6274.90,59473,5384.51,192578,17007.32
3,INDEX OPTIONS,21279444,1975255.01,21202225,1968238.00,1191995,105183.50
4,STOCK FUTURES,220955,15977.00,208226,15077.29,1927337,132233.04
5,STOCK OPTIONS,157979,11510.94,160114,11660.66,335933,24253.52
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,Notes:,,,,,,
11,,,,,,,
12,Both buy and sell positions have been considered,,,,,,
13,Options Value (Buy/Sell) = Strike price * Qty,,,,,,
14,Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
15,,,,,,,
16,Value & Open Interest at the end of day:,,,,,,
17,Options Value (End of day) = Underlying Close Price * Qty,,,,,,
18,Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
