,FII DERIVATIVES STATISTICS FOR 12-Apr-2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
1,,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
2,INDEX FUTURES,37852,3439.19,55367,4967.23,132875,11933.83
3,INDEX OPTIONS,8424944,777694.87,8423082,777815.96,1238919,110430.48
4,STOCK FUTURES,188184,13888.92,199332,14653.91,1904934,135846.05
5,STOCK OPTIONS,160882,12477.14,158249,12245.62,168119,12940.17
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,Notes:,,,,,,
11,,,,,,,
12,Both buy and sell positions have been considered,,,,,,
13,Options Value (Buy/Sell) = Strike price * Qty,,,,,,
14,Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
15,,,,,,,
16,Value & Open Interest at the end of day:,,,,,,
17,Options Value (End of day) = Underlying Close Price * Qty,,,,,,
18,Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
