,FII DERIVATIVES STATISTICS FOR 11-Jan-2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,BUY,BUY,SELL,SELL,OPEN INTEREST AT THE END OF THE DAY,
1,,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores,No. of contracts,Amt in Crores
2,INDEX FUTURES,45264,4184.17,49165,4530.77,149688,13770.75
3,INDEX OPTIONS,5335127,506972.68,5355921,508884.94,1199067,110336.55
4,STOCK FUTURES,161305,12148.22,183212,13341.24,1665780,120923.83
5,STOCK OPTIONS,156930,11828.56,158953,11934.89,264564,19677.26
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,Notes:,,,,,,
11,,,,,,,
12,Both buy and sell positions have been considered,,,,,,
13,Options Value (Buy/Sell) = Strike price * Qty,,,,,,
14,Futures Value (Buy/Sell) = Traded Price * Qty,,,,,,
15,,,,,,,
16,Value & Open Interest at the end of day:,,,,,,
17,Options Value (End of day) = Underlying Close Price * Qty,,,,,,
18,Futures Value (End of day) = Closing Futures Price * Qty  (closing price is the daily settlement price of futures contracts),,,,,,
